ym,ret_T
2017-02,0.00571206340036734
2017-03,0.0009465594445676739
2017-04,0.010953277350639778
2017-05,0.00827219569987947
2017-06,-0.005122414521624097
2017-07,0.003785299546120058
2017-08,0.014521646765139451
2017-09,-0.014368519677332992
2017-10,-0.001885876735470693
2017-11,-0.0028444291461304783
2017-12,0.00031521108583576485
2018-01,-0.018486990932044423
2018-02,-0.010938964522231753
2018-03,0.011628956979929272
2018-04,-0.01290383536609152
2018-05,0.009676813101809678
2018-06,0.001881432807480099
2018-07,-0.005160503010610884
2018-08,0.010026778388596336
2018-09,-0.012092489300281617
2018-10,-0.003039465118400364
2018-11,0.013169750745262832
2018-12,0.025978040046201745
2019-01,0.010719702221881455
2019-02,-0.007341638405562456
2019-03,0.026743401512836495
2019-04,-0.005317363463220315
2019-05,0.030528958430149133
2019-06,0.012218197655782914
2019-07,0.0005935241726537921
2019-08,0.039495309261626366
2019-09,-0.011762930481182376
2019-10,0.002025619381728294
2019-11,-0.006844785092539496
2019-12,-0.010622737139579841
2020-01,0.03761089495898284
2020-02,0.028235301339422758
2020-03,0.03738066823994646
2020-04,0.002761237845985587
2020-05,0.0034085955144562696
2020-06,0.0004786493779989076
2020-07,0.00863979332811149
2020-08,-0.009610783631508135
2020-09,0.0033683569876112873
2020-10,-0.0137335517990268
2020-11,0.003399602780895128
2020-12,-0.0030238379840100693
2021-01,-0.009660134299886325
2021-02,-0.024275436632942626
2021-03,-0.023805163355344217
2021-04,0.009996920488860805
2021-05,0.00421934207692054
2021-06,0.010183797011363183
2021-07,0.019926900852599072
2021-08,-0.003923613424821726
2021-09,-0.016007232272810423
2021-10,-0.004440754058363083
2021-11,0.010908563393173587
2021-12,-0.00620616042722566
2022-01,-0.019486053588647745
2022-02,-0.003997799913546207
2022-03,-0.04055294295651879
2022-04,-0.04249827556334196
2022-05,0.0060933508078402365
2022-06,-0.008667215540610784
2022-07,0.0293405048940536
2022-08,-0.03876466876080342
2022-09,-0.04737227647861153
2022-10,-0.014712432848037582
2022-11,0.03591276704415991
2022-12,-0.01663395747048768
2023-01,0.03989377912509995
2023-02,-0.03477477667266782
2023-03,0.03730451463269602
2023-04,0.008217658374178205
2023-05,-0.014797093461129007
2023-06,-0.01252251935220794
2023-07,-0.006552578310468404
2023-08,-0.007434170664297968
2023-09,-0.03141256911538015
2023-10,-0.019333161079698846
2023-11,0.04536660736880105
2023-12,0.034778521912818716
2024-01,0.006370530618586834
2024-02,-0.023221888830354476
2024-03,0.007133978658684814
2024-04,-0.031563078469454275
2024-05,0.017952474720662304
2024-06,0.012159451641148955
2024-07,0.02890103272544242
2024-08,0.013493347695506364
2024-09,0.013866909066980071
2024-10,-0.033823309784785094
2024-11,0.010032541035021936
2024-12,-0.025774916950896287
