id,date,index_name,tenor,spread_bps,series_number,bloomberg_ticker
14576,2022-04-07,US_HY,10Y,436.253,38,CDXHY038 BEST Curncy
14584,2022-04-08,US_IG,5Y,70.237,38,CDXIG538 Curncy
14585,2022-04-08,US_HY,5Y,398.7415,38,CDXHY538 BEST Curncy
14586,2022-04-08,US_HY,7Y,430.855,38,CDXHY738 BEST Curncy
14587,2022-04-08,US_HY,10Y,442.15,38,CDXHY038 BEST Curncy
14598,2022-04-11,US_HY,10Y,454.391,38,CDXHY038 BEST Curncy
14597,2022-04-11,US_HY,7Y,443.599,38,CDXHY738 BEST Curncy
14596,2022-04-11,US_HY,5Y,408.1679,38,CDXHY538 BEST Curncy
14595,2022-04-11,US_IG,5Y,72.504,38,CDXIG538 Curncy
14606,2022-04-12,US_IG,5Y,72.793,38,CDXIG538 Curncy
14607,2022-04-12,US_HY,5Y,409.9301,38,CDXHY538 BEST Curncy
14608,2022-04-12,US_HY,7Y,433.772,38,CDXHY738 BEST Curncy
14609,2022-04-12,US_HY,10Y,445.227,38,CDXHY038 BEST Curncy
14617,2022-04-13,US_IG,5Y,71.71,38,CDXIG538 Curncy
14618,2022-04-13,US_HY,5Y,404.9434,38,CDXHY538 BEST Curncy
14619,2022-04-13,US_HY,7Y,439.394,38,CDXHY738 BEST Curncy
14620,2022-04-13,US_HY,10Y,449.595,38,CDXHY038 BEST Curncy
14631,2022-04-14,US_HY,10Y,449.187,38,CDXHY038 BEST Curncy
14630,2022-04-14,US_HY,7Y,438.323,38,CDXHY738 BEST Curncy
14629,2022-04-14,US_HY,5Y,407.6548,38,CDXHY538 BEST Curncy
14628,2022-04-14,US_IG,5Y,72.621,38,CDXIG538 Curncy
14636,2022-04-15,US_IG,5Y,72.733,38,CDXIG538 Curncy
14637,2022-04-15,US_HY,5Y,406.4857,38,CDXHY538 BEST Curncy
14638,2022-04-15,US_HY,7Y,440.625,38,CDXHY738 BEST Curncy
14639,2022-04-15,US_HY,10Y,451.815,38,CDXHY038 BEST Curncy
14644,2022-04-18,US_HY,7Y,445.655,38,CDXHY738 BEST Curncy
14645,2022-04-18,US_HY,10Y,456.129,38,CDXHY038 BEST Curncy
14642,2022-04-18,US_IG,5Y,73.547,38,CDXIG538 Curncy
14643,2022-04-18,US_HY,5Y,408.859,38,CDXHY538 BEST Curncy
14653,2022-04-19,US_IG,5Y,74.057,38,CDXIG538 Curncy
14654,2022-04-19,US_HY,5Y,408.5662,38,CDXHY538 BEST Curncy
14655,2022-04-19,US_HY,7Y,441.066,38,CDXHY738 BEST Curncy
14656,2022-04-19,US_HY,10Y,451.734,38,CDXHY038 BEST Curncy
14667,2022-04-20,US_HY,10Y,449.166,38,CDXHY038 BEST Curncy
14664,2022-04-20,US_IG,5Y,73.063,38,CDXIG538 Curncy
14665,2022-04-20,US_HY,5Y,406.1801,38,CDXHY538 BEST Curncy
14666,2022-04-20,US_HY,7Y,437.899,38,CDXHY738 BEST Curncy
14677,2022-04-21,US_HY,7Y,447.301,38,CDXHY738 BEST Curncy
14678,2022-04-21,US_HY,10Y,458.633,38,CDXHY038 BEST Curncy
14675,2022-04-21,US_IG,5Y,75.453,38,CDXIG538 Curncy
14676,2022-04-21,US_HY,5Y,417.2595,38,CDXHY538 BEST Curncy
14686,2022-04-22,US_IG,5Y,79.046,38,CDXIG538 Curncy
14687,2022-04-22,US_HY,5Y,435.6415,38,CDXHY538 BEST Curncy
14688,2022-04-22,US_HY,7Y,467.342,38,CDXHY738 BEST Curncy
14689,2022-04-22,US_HY,10Y,477.329,38,CDXHY038 BEST Curncy
14697,2022-04-25,US_IG,5Y,77.126,38,CDXIG538 Curncy
14698,2022-04-25,US_HY,5Y,427.8247,38,CDXHY538 BEST Curncy
14699,2022-04-25,US_HY,7Y,471.626,38,CDXHY738 BEST Curncy
14700,2022-04-25,US_HY,10Y,481.38,38,CDXHY038 BEST Curncy
14711,2022-04-26,US_HY,10Y,483.849,38,CDXHY038 BEST Curncy
14710,2022-04-26,US_HY,7Y,473.943,38,CDXHY738 BEST Curncy
14709,2022-04-26,US_HY,5Y,438.443,38,CDXHY538 BEST Curncy
14708,2022-04-26,US_IG,5Y,81.401,38,CDXIG538 Curncy
14719,2022-04-27,US_IG,5Y,82.164,38,CDXIG538 Curncy
14720,2022-04-27,US_HY,5Y,448.417,38,CDXHY538 BEST Curncy
14721,2022-04-27,US_HY,7Y,479.267,38,CDXHY738 BEST Curncy
14722,2022-04-27,US_HY,10Y,488.574,38,CDXHY038 BEST Curncy
14733,2022-04-28,US_HY,10Y,498.156,38,CDXHY038 BEST Curncy
14730,2022-04-28,US_IG,5Y,80.841,38,CDXIG538 Curncy
14731,2022-04-28,US_HY,5Y,441.7312,38,CDXHY538 BEST Curncy
14732,2022-04-28,US_HY,7Y,489.467,38,CDXHY738 BEST Curncy
14744,2022-04-29,US_HY,10Y,503.089,38,CDXHY038 BEST Curncy
14743,2022-04-29,US_HY,7Y,494.807,38,CDXHY738 BEST Curncy
14742,2022-04-29,US_HY,5Y,462.7439,38,CDXHY538 BEST Curncy
14741,2022-04-29,US_IG,5Y,83.262,38,CDXIG538 Curncy
14747,2022-05-02,US_IG,5Y,83.079,38,CDXIG538 Curncy
14748,2022-05-02,US_HY,5Y,468.1375,38,CDXHY538 BEST Curncy
14749,2022-05-02,US_HY,7Y,497.101,38,CDXHY738 BEST Curncy
14750,2022-05-02,US_HY,10Y,504.969,38,CDXHY038 BEST Curncy
14760,2022-05-03,US_HY,7Y,479.256,38,CDXHY738 BEST Curncy
14761,2022-05-03,US_HY,10Y,487.673,38,CDXHY038 BEST Curncy
14758,2022-05-03,US_IG,5Y,80.83,38,CDXIG538 Curncy
14759,2022-05-03,US_HY,5Y,445.8467,38,CDXHY538 BEST Curncy
14769,2022-05-04,US_IG,5Y,78.579,38,CDXIG538 Curncy
14770,2022-05-04,US_HY,5Y,438.2379,38,CDXHY538 BEST Curncy
14771,2022-05-04,US_HY,7Y,489.193,38,CDXHY738 BEST Curncy
14772,2022-05-04,US_HY,10Y,497.52,38,CDXHY038 BEST Curncy
14783,2022-05-05,US_HY,10Y,502.479,38,CDXHY038 BEST Curncy
14780,2022-05-05,US_IG,5Y,83.002,38,CDXIG538 Curncy
14781,2022-05-05,US_HY,5Y,460.7025,38,CDXHY538 BEST Curncy
14782,2022-05-05,US_HY,7Y,495.176,38,CDXHY738 BEST Curncy
14793,2022-05-06,US_HY,7Y,504.277,38,CDXHY738 BEST Curncy
14794,2022-05-06,US_HY,10Y,511.262,38,CDXHY038 BEST Curncy
14791,2022-05-06,US_IG,5Y,86.323,38,CDXIG538 Curncy
14792,2022-05-06,US_HY,5Y,477.5036,38,CDXHY538 BEST Curncy
14802,2022-05-09,US_IG,5Y,88.867,38,CDXIG538 Curncy
14803,2022-05-09,US_HY,5Y,494.3321,38,CDXHY538 BEST Curncy
14804,2022-05-09,US_HY,7Y,525.367,38,CDXHY738 BEST Curncy
14805,2022-05-09,US_HY,10Y,530.632,38,CDXHY038 BEST Curncy
14813,2022-05-10,US_IG,5Y,87.409,38,CDXIG538 Curncy
14814,2022-05-10,US_HY,5Y,482.6266,38,CDXHY538 BEST Curncy
14815,2022-05-10,US_HY,7Y,518.154,38,CDXHY738 BEST Curncy
14816,2022-05-10,US_HY,10Y,522.632,38,CDXHY038 BEST Curncy
14827,2022-05-11,US_HY,10Y,512.807,38,CDXHY038 BEST Curncy
14826,2022-05-11,US_HY,7Y,507.968,38,CDXHY738 BEST Curncy
14825,2022-05-11,US_HY,5Y,486.5154,38,CDXHY538 BEST Curncy
14824,2022-05-11,US_IG,5Y,87.837,38,CDXIG538 Curncy
14835,2022-05-12,US_IG,5Y,87.411,38,CDXIG538 Curncy
14836,2022-05-12,US_HY,5Y,496.3096,38,CDXHY538 BEST Curncy
14837,2022-05-12,US_HY,7Y,519.327,38,CDXHY738 BEST Curncy
14838,2022-05-12,US_HY,10Y,523.38,38,CDXHY038 BEST Curncy
14846,2022-05-13,US_IG,5Y,85.583,38,CDXIG538 Curncy
14847,2022-05-13,US_HY,5Y,484.0971,38,CDXHY538 BEST Curncy
14848,2022-05-13,US_HY,7Y,510.091,38,CDXHY738 BEST Curncy
14849,2022-05-13,US_HY,10Y,514.325,38,CDXHY038 BEST Curncy
14860,2022-05-16,US_HY,10Y,522.281,38,CDXHY038 BEST Curncy
14859,2022-05-16,US_HY,7Y,518.355,38,CDXHY738 BEST Curncy
14858,2022-05-16,US_HY,5Y,490.6593,38,CDXHY538 BEST Curncy
14857,2022-05-16,US_IG,5Y,86.091,38,CDXIG538 Curncy
14868,2022-05-17,US_IG,5Y,84.239,38,CDXIG538 Curncy
14869,2022-05-17,US_HY,5Y,485.289,38,CDXHY538 BEST Curncy
14870,2022-05-17,US_HY,7Y,515.577,38,CDXHY738 BEST Curncy
14871,2022-05-17,US_HY,10Y,519.376,38,CDXHY038 BEST Curncy
14879,2022-05-18,US_IG,5Y,89.654,38,CDXIG538 Curncy
14880,2022-05-18,US_HY,5Y,516.9102,38,CDXHY538 BEST Curncy
14881,2022-05-18,US_HY,7Y,542.552,38,CDXHY738 BEST Curncy
14882,2022-05-18,US_HY,10Y,545.137,38,CDXHY038 BEST Curncy
14893,2022-05-19,US_HY,10Y,547.142,38,CDXHY038 BEST Curncy
14892,2022-05-19,US_HY,7Y,544.306,38,CDXHY738 BEST Curncy
14890,2022-05-19,US_IG,5Y,89.949,38,CDXIG538 Curncy
14891,2022-05-19,US_HY,5Y,505.1989,38,CDXHY538 BEST Curncy
14901,2022-05-20,US_IG,5Y,90.489,38,CDXIG538 Curncy
14902,2022-05-20,US_HY,5Y,529.676,38,CDXHY538 BEST Curncy
14903,2022-05-20,US_HY,7Y,555.787,38,CDXHY738 BEST Curncy
