ym,month,ret_dn,dts_p,cum_dn,ret_cdx,dts_cdx,theta_cdx,ret_dn_hedged,cum_dn_hedged
2017-04,2017-04,0.0022499770912305806,0.10424291583333332,0.0022499770912305372,0.0011764999999999996,0.031989000000000004,-3.2587113018016605,-0.0015838967553390717,-0.0015838967553390981
2017-05,2017-05,0.01532841299120953,0.10280485833333333,0.017612878660515197,0.0011965000000000022,0.0307925,-3.3386330545858027,0.01133373854139761,0.009731890314357061
2017-06,2017-06,-0.009978144703170481,0.10355967666666667,0.007458990105430718,0.0005330000000000005,0.030259499999999998,-3.422385586895576,-0.011802276220985826,-0.002185244364271144
2017-07,2017-07,0.011605401659546518,0.09762163,0.019150956341125402,0.0016465000000000013,0.028613,-3.411792891343096,0.005987884663950106,0.003789555308463033
2017-08,2017-08,0.002673538218919462,0.09222228230769232,0.021875695373751558,-0.0003330000000000043,0.028946000000000003,-3.186011272980457,0.0037344799728219677,0.007538187299690469
2017-09,2017-09,-0.008288427107603632,0.08930233916666666,0.013405953159614459,0.0011300000000000025,0.027816,-3.210466607947464,-0.011916254374584274,-0.004467894032280206
2017-10,2017-10,0.001663262834828551,0.08032330833333333,0.015091513618098906,0.0017409999999999995,0.026075,-3.080472035794183,-0.00369983897948912,-0.008151202523272505
2017-11,2017-11,-0.006723021670360277,0.06898941181818183,0.008267031374645573,3.099999999999804e-05,0.026044,-2.648956067354547,-0.006805139308448263,-0.014900871763018575
2017-12,2017-12,-0.002884584360732013,0.05902772428571428,0.005358600064500507,0.0015340000000000015,0.02451,-2.408311884362068,-0.006578934791343429,-0.021381774690698907
2018-01,2018-01,-0.015267269434527449,0.05371570214285715,-0.0099904805610036,0.0008699999999999984,0.02364,-2.27223782330191,-0.017244116340800107,-0.03825718122115984
2018-02,2018-02,-0.008165571512306067,0.04935576,-0.018074474089846415,-0.004487999999999996,0.028128,-1.7546843003412969,-0.0002905483723743326,-0.038536614031798755
2018-03,2018-03,0.0008465869892301386,0.05287079125000001,-0.017243188715217794,-0.004650500000000003,0.0327785,-1.6129716506246474,0.008347711650460065,-0.030510594923261247
2018-04,2018-04,-0.011784386693639383,0.05662925187500001,-0.028824375005205627,0.0024295000000000002,0.030349,-1.8659346889518602,-0.01631767502044793,-0.0463304079710708
2018-05,2018-05,0.0011845499029875858,0.055317530000000004,-0.027673969012834032,-0.003055000000000002,0.033404,-1.6560151478864806,0.0062436761797807876,-0.040376003855938425
2018-06,2018-06,0.0007362276024304208,0.06617677,-0.026958115750259526,-0.0003934999999999963,0.0337975,-1.9580374288039055,0.0015067153306647504,-0.0389301236692744
2018-07,2018-07,-0.001606133222601786,0.06893807874999999,-0.028520950647536125,0.004805499999999997,0.028992000000000004,-2.377831082712472,-0.013032800490576563,-0.05145555562499582
2018-08,2018-08,-0.0008995648678665814,0.058308362,-0.029394859070202006,-0.0009774999999999975,0.0299695,-1.9455900832513056,0.001002249438511565,-0.05050487748821775
2018-09,2018-09,-0.011644203503522228,0.057942508,-0.040696782852753466,0.00037950000000000136,0.029589999999999998,-1.9581787090233187,-0.01238733232359658,-0.06226658911040528
2018-10,2018-10,-0.005013351317064671,0.061102498750000005,-0.045506106899902976,-0.004789,0.034379,-1.7773204208964777,0.0034982361786085603,-0.058986176166541227
2018-11,2018-11,0.00835340712966917,0.06051155375,-0.03753283080805492,-0.0031030000000000033,0.037482,-1.614416353182861,0.013362941073595593,-0.04641146388921591
2018-12,2018-12,0.005121534269422797,0.064750384,-0.032603522217844016,-0.006392499999999992,0.0438745,-1.4758090462569373,0.014555643597620257,-0.03253136901881093
2019-01,2019-01,0.012292901781801398,0.06792731133333334,-0.020711412332407364,0.010817999999999994,0.033056499999999996,-2.0548851612643,-0.009936845892755791,-0.04214495571094645
2019-02,2019-02,-0.0005363522811806577,0.06295664875000001,-0.021236656000337084,0.002976999999999997,0.030079500000000002,-2.093008485845842,-0.006767238543543722,-0.048626989285787126
2019-03,2019-03,0.016679473083498677,0.05257110333333334,-0.004911399148979534,-0.001855499999999996,0.031935,-1.646190804237775,0.019733980120761864,-0.029852613204923495
2019-04,2019-04,0.0036191174010612674,0.05354187125,-0.0013100566780418488,0.003009999999999996,0.028925,-1.8510586430423508,-0.001952569114496201,-0.03174689302888867
2019-05,2019-05,0.015425671233017729,0.04868684,0.014095406051363613,-0.005584999999999995,0.03451,-1.4108038249782673,0.023305010595521345,-0.009181744111780521
2019-06,2019-06,0.007567957365727304,0.05471989352941177,0.02177003684914025,0.0068099999999999975,0.0277,-1.97544741983436,-0.005884839563344682,-0.01501255058411577
2019-07,2019-07,0.011006853942251628,0.04980031882352941,0.03301651040730791,0.0016249999999999988,0.026075,-1.909887586712537,0.007903286613843758,-0.0072279124603431555
2019-08,2019-08,0.008193612502244315,0.05412613235294117,0.04148064740200619,-0.0007950000000000014,0.02687,-2.0143703890190237,0.009795036961514441,0.002496326831467721
2019-09,2019-09,0.000650351399060021,0.056684085,0.04215797579813807,-0.003029999999999999,0.0299,-1.8957887959866222,0.006394591450899483,0.008906881272582323
2019-10,2019-10,-0.00573713988771067,0.07158856499999999,0.03617896970589074,0.0023720000000000034,0.027527999999999997,-2.600572689625109,-0.011905698307501437,-0.0031048596762112135
2019-11,2019-11,-0.0013953305131541942,0.063833394375,0.0347331575723715,0.0025129999999999944,0.025015000000000003,-2.5518046921846893,-0.007808015704614304,-0.010888632587712999
