,68389XAM7,134429AZ2,126408GS6,45687AAG7,58013MEN0,96332HCG2,718546AH7,50247VAB5,50076QAE6,418056AS6,00185AAB0,887317AP0,444454AF9,64110LAN6,219350AX3,88579YAH,12527GAF0,10948WAA1,100743AJ2,205887BN1,85172FAN9,63938CAJ7,28370TAD1,04650NAB0,92553PAP7
2017-04-01,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,,,,,,,,,,,,,
2017-05-01,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,,,,,,,,,,,,,,
2017-06-01,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,0.1,,,,,,,,,,,,,,
2017-07-01,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,0.1,0.1,,,,,,,,,,,,,,
2017-08-01,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,,0.09090909090909091,0.09090909090909091,,0.09090909090909091,,,,,,,,,,,,
2017-09-01,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,,0.07692307692307693,0.07692307692307693,,0.07692307692307693,0.07692307692307693,0.07692307692307693,,,,,,,,,,
2017-10-01,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,,0.07142857142857142,,0.07142857142857142,0.07142857142857142,,,,,,,,,
2017-11-01,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,,,,,,,,,
2017-12-01,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,,,,,,,,,
2018-01-01,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,,0.06666666666666667,,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,,,,,,,,
2018-02-01,,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,,0.06666666666666667,,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,,,,,,,
2018-03-01,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,,,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,,,,,,,,
2018-04-01,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,,,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,,,0.07142857142857142,,,,,,,
2018-05-01,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,,,0.07692307692307693,,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,,,,,,,,,
2018-06-01,0.07692307692307693,,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,,,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,,,,0.07692307692307693,,,,,,
